Date,Revenue
Jan-2010,541530
Feb-2010,815699
Mar-2010,557780
Apr-2010,-525528
May-2010,910930
Jun-2010,865487
Jul-2010,1182429
Aug-2010,382556
Sep-2010,873553
Oct-2010,366120
Nov-2010,-152763
Dec-2010,556543
Jan-2011,620685
Feb-2011,1015422
Mar-2011,773057
Apr-2011,800480
May-2011,-909543
Jun-2011,624277
Jul-2011,725408
Aug-2011,167413
Sep-2011,933825
Oct-2011,1088398
Nov-2011,464399
Dec-2011,739598
Jan-2012,-1157976
Feb-2012,-452279
Mar-2012,768267
Apr-2012,540849
May-2012,1133599
Jun-2012,1054926
Jul-2012,-476096
Aug-2012,578522
Sep-2012,875862
Oct-2012,1011922
Nov-2012,904351
Dec-2012,716206
Jan-2013,76411
Feb-2013,96719
Mar-2013,1125349
Apr-2013,560521
May-2013,1024406
Jun-2013,1134071
Jul-2013,345711
Aug-2013,58966
Sep-2013,967913
Oct-2013,624233
Nov-2013,592385
Dec-2013,-287430
Jan-2014,299265
Feb-2014,1052570
Mar-2014,1112418
Apr-2014,146804
May-2014,-1082504
Jun-2014,560521
Jul-2014,773399
Aug-2014,240555
Sep-2014,942200
Oct-2014,-607300
Nov-2014,439767
Dec-2014,465349
Jan-2015,-199162
Feb-2015,1089369
Mar-2015,604186
Apr-2015,378613
May-2015,-990671
Jun-2015,1123907
Jul-2015,106693
Aug-2015,618573
Sep-2015,493925
Oct-2015,491886
Nov-2015,1134589
Dec-2015,251037
Jan-2016,911071
Feb-2016,905392
Mar-2016,774557
Apr-2016,332979
May-2016,1193757
Jun-2016,358077
Jul-2016,405342
Aug-2016,661664
Sep-2016,1196873
Oct-2016,517256
Nov-2016,1182921
Dec-2016,-421658
Jan-2017,301112
Feb-2017,74670
